Index,Weight,Weight-Category,Type
synImage1,72.54,70-75,Digital
synImage2,59.98,55-60,Digital
synImage3,85.89,85-90,Digital
synImage4,45.97,45-50,Digital
synImage5,75.85,75-80,Digital
synImage6,97.21,95-100,Digital
synImage7,78.16,75-80,Digital
synImage8,74.67,70-75,Digital
synImage9,89.30,85-90,Digital
synImage10,67.08,65-70,Digital
synImage11,98.14,95-100,Digital
synImage12,56.14,55-60,Digital
synImage13,85.69,85-90,Digital
synImage14,98.77,95-100,Digital
synImage15,76.55,75-80,Digital
synImage16,58.12,55-60,Digital
synImage17,47.20,45-50,Digital
synImage18,97.49,95-100,Digital
synImage19,108.23,105-110,Digital
synImage20,41.26,40-45,Digital
synImage21,97.51,95-100,Digital
synImage22,78.58,75-80,Digital
synImage23,51.82,50-55,Digital
synImage24,105.42,105-110,Digital
synImage25,60.59,60-65,Digital
synImage26,102.53,100-105,Digital
synImage27,59.33,55-60,Digital
synImage28,101.91,100-105,Digital
synImage29,85.38,85-90,Digital
synImage30,90.32,90-95,Digital
synImage31,50.37,50-55,Digital
synImage32,85.64,85-90,Digital
synImage33,46.42,45-50,Digital
synImage34,60.78,60-65,Digital
synImage35,88.88,85-90,Digital
synImage36,59.56,55-60,Digital
synImage37,59.05,55-60,Digital
synImage38,58.52,55-60,Digital
synImage39,62.10,60-65,Digital
synImage40,105.96,105-110,Digital
synImage41,99.66,95-100,Digital
synImage42,68.75,65-70,Digital
synImage43,63.37,60-65,Digital
synImage44,71.10,70-75,Digital
synImage45,83.58,80-85,Digital
synImage46,57.75,55-60,Digital
synImage47,68.91,65-70,Digital
synImage48,108.42,105-110,Digital
synImage49,98.14,95-100,Digital
synImage50,71.26,70-75,Digital
synImage51,95.90,95-100,Digital
synImage52,58.45,55-60,Digital
synImage53,53.45,50-55,Digital
synImage54,59.29,55-60,Digital
synImage55,71.46,70-75,Digital
synImage56,57.59,55-60,Digital
synImage57,66.14,65-70,Digital
synImage58,55.91,55-60,Digital
synImage59,89.53,85-90,Digital
synImage60,89.09,85-90,Digital
synImage61,80.94,80-85,Digital
synImage62,47.53,45-50,Digital
synImage63,68.00,65-70,Digital
synImage64,92.22,90-95,Digital
synImage65,96.35,95-100,Digital
synImage66,102.88,100-105,Digital
synImage67,53.76,50-55,Digital
synImage68,60.83,60-65,Digital
synImage69,65.54,65-70,Digital
synImage70,83.55,80-85,Digital
synImage71,72.88,70-75,Digital
synImage72,80.92,80-85,Digital
synImage73,78.29,75-80,Digital
synImage74,78.13,75-80,Digital
synImage75,82.83,80-85,Digital
synImage76,82.24,80-85,Digital
synImage77,51.59,50-55,Digital
synImage78,76.42,75-80,Digital
synImage79,80.24,80-85,Digital
synImage80,76.06,75-80,Digital
synImage81,47.64,45-50,Digital
synImage82,48.13,45-50,Digital
synImage83,101.68,100-105,Digital
synImage84,89.44,85-90,Digital
